Номер,Период_наблюдений,Объект_исследования,Предмет_исследований,Latitude,Longitude,Азот_нитритный,Азот_аммонийный,Азот_нитратный,Фенол,Нефтепродукты,Органические_вещества(по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Хлориды Сульфат-ион,Аммоний-ион,Нитрит-ион,Нитратный азот,Фосфат-ион,АПАВ,Цезий-137,Цезий-134,Йод-131,Окраска,Запахи,Плавающие_примеси,Нафталину,антраценуА,Бенз(а)перену, Фенол,Прозрачность,Литий,Цифлутрин,Цинерметрин,ор_ДДТ,Спироксамин,Сульфаты,Сероводород,Мышьяк,Бор,Хлороформ,Свинец,Ртуть,Кадмий,Тетрахлорметан,Энтерококков,Стафилококки,Фосфор
17,11.10.2020,"Река Халактырка, Кирпичная",песок,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,
18,11.10.2020,озеро Халактырское,вода,53,159,,,,4,,,3,,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.10.2020,"озеро Халактырское, ТЭЦ",вода,53,159,,,,6,,,2,,,,9,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.10.2020,озеро Халактырское,почва,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.10.2020,озеро Халактырское,почва,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.10.2020,бухта Малая Лагерная,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.10.2020,бухта Малая Лагерная,песок,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12.10.2020,Халактырский пляж,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12.10.2020,Халактырский пляж,"песок, донные отложения, водоросли",53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12.10.2020,Озерновская коса,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12.10.2020,река Кирпичная,вода,53,159,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.10.2020,бухта Малая Лагерная,вода,53,159,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13.10.2020,Халактырский пляж,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13.10.2020,Озерновская коса,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13.10.2020,река Халактырка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13.10.2020,река Налычева,вода,53,159,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13.10.2020,бухта Безымянная Авачинский залив,вода,53,159,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.10.2020,река Мутнушка,вода подземная,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.10.2020,река Мутнушка,почва,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,,,,
17,13.10.2020,река Кирпичная,вода,53,159,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13.10.2020,Река Озерная,вода,51,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13.10.2020,Район озера Приливное,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,13.10.2020,Бухта Станицкого,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,13.10.2020,Бухта Станицкого,донный грунт,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13.10.2020,о. Бабушкин камень,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,13.10.2020,Ручей Крутобереговый,вода,53,159,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14.10.2020,Халактырский пляж,"500 м от берега в р-не реки Налычева, глубина 10 м",53,159,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,7,,,,,,,,5,,,2,,,,,
4,14.10.2020,Авачинский залив,вода,53,159,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14.10.2020,река Таёнка,вода,53,159,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14.10.2020,река Налычева,вода,53,159,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
11,14.10.2020,бухта Безымянная Авачинский залив,вода,53,159,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,,
12,14.10.2020,река Мутнушка,вода,53,159,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
12,14.10.2020,река Мутнушка,вода подземная,53,159,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14.10.2020,река Мутнушка,почва,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.10.2020,бухта Сельдевая,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14.10.2020,бухта Крашенинникова,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
18,14.10.2020,озеро Халактырское,вода,53,159,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
18,14.10.2020,"озеро Халактырское, ТЭЦ",вода,53,159,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14.10.2020,Ручей Совхозный,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15.10.2020,Озерновская коса,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15.10.2020,река Халактырка,вода,53,159,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15.10.2020,река Налычева,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15.10.2020,бухта Раковая Авачинская губа,вода,53,159,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15.10.2020,бухта Спасения Авачинский залив,вода,53,159,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15.10.2020,бухта Безымянная Авачинский залив,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15.10.2020,река Мутнушка,вода,53,159,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15.10.2020,река Мутная,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.10.2020,бухта Крашенинникова,вода,53,158,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15.10.2020,бухта Тихая,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15.10.2020,"озеро Халактырское, ТЭЦ",вода,53,159,,,,,,,3,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15.10.2020,"озеро Халактырское, ТЭЦ",вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15.10.2020,Район озера Явинское,вода,52,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15.10.2020,Район озера Явинское,вода,52,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15.10.2020,Район озера Явинское,донный грунт,52,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15.10.2020,Ручей Совхозный,вода,53,159,,,,1,2,,,,,,,1,33,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15.10.2020,Ручей Совхозный,вода,53,159,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15.10.2020,Река Крупенинская,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15.10.2020,Река Светлая,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15.10.2020,Река Славная,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15.10.2020,Река Каменистая,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,15.10.2020,Первый Курильский пролив,вода,51,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15.10.2020,Район бухты Три сестры,вода,51,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15.10.2020,Район острова Уташуд,вода,51,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15.10.2020,Ручей Крутобереговый,вода,53,159,,,,,,,,,1,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15.10.2020,Ручей Крутобереговый,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17.10.2020,бухта Безымянная Авачинский залив,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17.10.2020,река Мутнушка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17.10.2020,река Мутнушка,почва,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17.10.2020,бухта Тихая,вода,53,159,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10.2020,река Кирпичная,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17.10.2020,озеро Халактырское,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17.10.2020,"озеро Халактырское, ТЭЦ",вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17.10.2020,озеро Халактырское,почва,53,159,,,,,2,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
27,17.10.2020,Бухта Станицкого,вода,53,159,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,17.10.2020,Бухта Гротовая,вода,53,159,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,18.10.2020,бухта Сельдевая,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,18.10.2020,бухта Крашенинникова,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,18.10.2020,Бухта Турпанка,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18.10.2020,Бухта Богатыревка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19.10.2020,бухта Сельдевая,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19.10.2020,бухта Крашенинникова,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20.10.2020,река Таёнка,вода,53,159,,,,,,,8,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20.10.2020,Козельский полигон,вода поверхностная,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20.10.2020,река Мутнушка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20.10.2020,"Река Халактырка, Кирпичная",вода,53,159,,,,3,1,,6,,,,,,7,2,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20.10.2020,"озеро Халактырское, ТЭЦ",вода,53,159,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20.10.2020,"Ручей Совхозный, ниже сброса св",вода,53,159,,,,,6,,1,,,,,,39,,,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20.10.2020,"Ручей Совхозный, выше сброса св",вода,53,159,,,,4,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20.10.2020,"Ручей Совхозный, в месте сброса св",вода,53,159,,,,9,2,,5,,,,,,8,,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20.10.2020,Район озера Приливное,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20.10.2020,Ручей Крутобереговый,вода,53,159,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20.10.2020,Бухта Турпанка,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20.10.2020,Бухта Богатыревка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21.10.2020,бухта Безымянная Авачинский залив,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21.10.2020,Козельский полигон,вода поверхностная,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21.10.2020,река Мутнушка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21.10.2020,река Мутнушка,атмосферный воздух,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21.10.2020,река Кирпичная,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,21.10.2020,Бухта Турпанка,вода,53,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,21.10.2020,Бухта Богатыревка,вода,53,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
